linkedin_job_id,company_name,linkedin_company_page,title,job_location,posted_date,applicant_count,salary,description
4333386212,thoughtbot,https://www.linkedin.com/company/thoughtbot-inc/life,Senior Ruby on Rails Consultant- Remote,"Barcelona, Catalonia, Spain",4 days ago,27 applicants,Not specified,"About the job Join a team of consultants dedicated to creating products people love as a Remote Senior Ruby on Rails Software Developer. We're growing and looking for an experienced technical leader with significant Ruby On Rails experience to join our consulting team as a Senior Ruby on Rails Consultant. You'll primarily work directly with clients on projects as a Senior Ruby on Rails Consultant, leading by example with your communication and advocating for how we work as consultants, especially in difficult situations. You'll partner closely with product managers, designers, developers, and clients to help solve problems. You'll deliver high-quality, well-tested software, mentor both client and thoughtbot engineering teams in software best practices, and advise on product prioritization, agile process, team culture, and communication. You'll help contribute to our growing expertise in using AI to help solve real-world client needs. During investment time, you'll contribute to the broader tech community, thoughtbot, and yourself. The majority of thoughtbot's open-source work and blog content is the result of investment time. This is a fully remote position on our EMEA team. We focus on embedding with technical teams to address technical debt, implementing process improvements, mentoring and upskilling client teams, as well as creating great early stage products with founders. This is a position is open to applicants who currently reside in Ireland, Nigeria, Portugal, Spain, Turkey, and United Kingdom. We will begin reviewing applications no sooner than 10 November 2025. Locations & Compensation: This is a fully remote position and is open to applicants currently living in and authorized to work in the following locations: Ireland, Nigeria, Portugal, Spain, Turkey, and United Kingdom. Salary and benefits vary by location. We publish all our salary ranges in our compensation calculator. New team members typically have a starting salary between the start and the middle of the band. Please view the compensation range and benefits for where you live: https://thoughtbot.com/jobs/compensation?department=Development&title=Senior+Developer About Thoughtbot We believe that it is possible to continuously learn and improve the way people work while building higher-quality products that make positive contributions to the world. We work with companies in every step of the product development and maintenance process to help identify and solve problems. We lead and participate in product design sprints, build high-quality apps, and then deploy them. We proactively work on improving diversity, equity, and inclusion (DEI) at thoughtbot. We aim to maintain an inclusive work environment where everyone can thrive professionally, as well as have full lives outside of work. Read about our DEI efforts in the Diversity, Equity, and Inclusion section of our Playbook. We acknowledge that DEI work is never done, and that we will make mistakes along the way. We are continuously working on learning, improving ourselves, and the company. As a member of thoughtbot, you'll be part of our distributed remote community. We're continuously working to assure remote work is inclusive, collaborative, comfortable, and social. Want to dig deeper? Read more about our Purpose and Values, and how we work in our Playbook. Requirements Senior thoughtbot consultants are able to build high-quality, test-driven applications with Ruby on Rails and JavaScript (or TypeScript). Well-qualified candidates will have an excellent knowledge of refactoring, application architecture, performance tuning, debugging, design patterns, Extreme Programming (XP), and working effectively in legacy applications. In addition to Rails, our clients often have frontend needs in JavaScript, TypeScript, and Elm, including frameworks like React and Stimulus. Experience with JavaScript and TypesScript is a must, and an interest in a continuing frontend education is a plus. As consultants, we work closely with our clients. Experience with a client-facing role like consulting, teaching, or business development is also valuable, but not required. Well-qualified candidates value diversity, equity, and inclusion, and contributing to an inclusive working and learning environment. We especially appreciate candidates that demonstrate commitment to valuing DEI and contributing to an inclusive working and learning environment. We also understand that not everyone has had the opportunity to commit to this work, and that's okay. We encourage you to apply even if you don't match 100% of the requirements. Let us know if you need any specific accommodations during the interview process. thoughtbot cannot sponsor work visas at this time. Benefits Benefits vary by location, but all team members accrue at least 20 paid annual leave/vacation days per year and receive paid holidays and paid sick days. thoughtbot ensures at least 12 weeks of fully paid parental leave for birthing parents, and at least 6 weeks of fully paid parental leave for non-birthing parents. All new parents have the ability to take up to at least 6 months off by combining different types of leaves. In addition to country-specific benefits, all team members receive a monthly remote work stipend to offset the cost of internet, electricity, etc., and a remote workspace budget to setup their workspace. Please see our benefits page to learn more about benefits for team members located in your country. Our team works in a relaxed and educational environment to develop excellent products for our clients. We work a sustainable pace of 40 hours/week. We also reserve at least 4 weeks per year for investing in ourselves, the company, and our community. Everything we do is predicated on having a great team and a culture of growing. We use the latest technologies and are always down to try new methods on both internal and client projects. thoughtbot does not discriminate on the basis of race, sex, color, religion, age, national origin, marital status, disability, veteran status, genetic information, sexual orientation, gender identity or any other reason prohibited by law in provision of employment opportunities and benefits. thoughtbot does not accept unsolicited resumes from any source other than directly from a candidate. Any unsolicited resumes not originating directly from a candidate and sent to thoughtbot or any thoughtbot's employees, including unsolicited resumes sent to a thoughtbot mailing address or email address, are rejected. thoughtbot will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume. thoughtbot considers any candidate for whom the recruiter has submitted an unsolicited resume referred by the company free of any fees."
4317827931,Xapo Bank,https://www.linkedin.com/company/xapobankapp/life,iOS Developer (Remote - Work from Anywhere),"Gibraltar, Gibraltar",2 weeks ago,,Not specified,"About the job Work from anywhere, impact everywhere Diversity is at the heart of who we are at Xapo Bank. We’re a fully distributed team of over 180 Xapiens that work remotely from 40+ countries around the world. Our beginning: A world that enjoys economic freedom and wealth protection, no matter where you live or who is running your country. To achieve that, we search the world for the best people for the job. We work hard, think globally, and inspire each other to learn and grow. We are committed to changing the way things are done. Risk is inherent in all of our business activities and managing risk well is the responsibility of every Xapien. Sound risk management enables us to serve our customers and deliver value for our shareholders, and helps make Xapo a great place to work. Although we are headquartered in Gibraltar, this is a full time, 100% remote position Work from anywhere! Position Overview At Xapo, we’re always exploring new ways to deliver high-quality software using cutting-edge technology. We’re looking for an iOS Developer who’s eager to grow, learn, and make an impact from day one. Our product is mobile-first, and mobile-only. The entire Xapo experience lives inside our mobile apps, which means your work will directly shape how our customers interact with and trust our product every single day. You won’t just build features, you’ll help define the user experience for thousands of people around the world. You’ll be part of a modern mobile team working with the latest Swift and SwiftUI, building all our new screens using our own UI component library. Our architecture is based on The Composable Architecture (TCA), and we place strong focus on code quality, testability, and maintainability. While your primary focus will be iOS development, you’ll also have the opportunity to learn about Kotlin Multiplatform (KMM) and how we share code between iOS and Android. The more you want to explore, the more you’ll grow - at Xapo, your learning path has no limits. Your Role & Responsibilities As an iOS Developer, you’ll help build features that will be used by real customers across the world, from sending and receiving money to managing their digital assets securely. You’ll collaborate closely with experienced engineers, designers, and product managers in a highly agile environment. You’ll have full ownership of your work, from development to release, supported by a strong CI/CD pipeline (CircleCI) and automated testing processes. Your daily responsibilities will include: Developing new user-facing features using SwiftUI and TCA. Maintaining and improving existing modules in collaboration with senior engineers. Writing unit tests and UI tests to ensure code reliability. Participating in code reviews, learning from feedback, and contributing to clean, readable, and maintainable code. Actively engaging in discussions and taking ownership of your tasks with a proactive, positive attitude. What You'll Bring: Skills & Experience Knowledge of Swift and SwiftUI. Understanding of software architecture and clean code principles (SOLID). Basic experience writing unit tests or a desire to learn. A growth mindset and strong willingness to learn. Basic understanding of Swift concurrency (async/await) and a curiosity to deepen that knowledge. Great communication skills in English, both written and spoken. Curiosity, enthusiasm, and a sense of ownership - we value attitude and initiative above all. Basic experience collaborating through Git, pull requests, and code reviews. Nice to have: Exposure to The Composable Architecture (TCA). Some familiarity with CI/CD tools (e.g., CircleCI). Other Requirements A dedicated workspace A reliable internet connection with the fastest speed possible in your area Alignment with Our Values and the Xapo Values-Driven Leadership principles Why work for Xapo? IMPACT GLOBALLY, WORK REMOTELY. Shape the Future: Improve lives through cutting-edge technology, work 100% remotely from anywhere in the world. Great work-life balance: Build amazing things with a balance of autonomy and collaborative teamwork. Set your own work schedule and make use of a flexible PTO plan when you need to recharge. Expect Excellence: Collaborate, learn, and grow with a high-performance team. Learn how you learn best - from books to conferences, you’ll get a yearly budget for your individual learning and development goals. At Xapo, we prioritize consumer protection and adhere to regulatory requirements by ensuring that all Xapiens are accountable for upholding principles of fair treatment, transparency, and ethical conduct in their interactions with customers and stakeholders. Xapo Device Policy Consultants joining Xapo Bank must comply with the Xapo Device Policy, which governs the use of corporate-approved laptops under Corporate-Owned, Personally Purchased Device (reimbursed up to $1,500) or Corporate-Owned, Personally Enabled Device (personal device with enforced security controls). All devices must meet security requirements, enroll in Xapo’s Mobile Device Management (MDM), and adhere to compliance rules. COPPD devices remain Xapo property with buyback options upon exit. COPED users agree to data control measures, including mandatory corporate data wipes. Compliance with the Xapo Device Policy is mandatory for all consultants, onboarding will not proceed without adherence to the policy."
4320203101,Braintrust,https://www.linkedin.com/company/usebraintrust/life,"English Language Experts - Writers (Freelance, Remote, 20+ openings)",United Kingdom,4 days ago,,Not specified,"About the job Job Description English Language Experts Are you excited about writing, research, and language — and eager to apply your skills to the future of AI? This is a fully remote, fully flexible role where you decide your schedule. Not only will you be able to implement your writing and language skills in impactful projects, but you’ll also have the opportunity to build passive income forever through our referral program, earning as long as your referred candidates continue working. 📌 To ensure the success of your application, we strongly recommend watching our video guide on the application process before applying. The Role: Where Your Language Expertise Meets AI Innovation As an AI Data Trainer, you will: Develop AI Training Content: Create detailed prompts in various topics and responses to guide AI learning, ensuring the models reflect a comprehensive understanding of diverse subjects. Optimize AI Performance: Evaluate and rank AI responses to enhance the model's accuracy, fluency, and contextual relevance. Ensure Model Integrity: Test AI models for potential inaccuracies or biases, validating their reliability across use cases. Bring your expertise - we’ll take care of the rest with a tailored onboarding experience that sets you up for success from day one. Your Profile Apply if this sounds like you (even if not every point applies): You are a student or graduate with a Bachelor’s or Master’s degree in Linguistics, Communication, or a related field. You have a strong command of written English, with good grammar, syntax, and stylistic versatility. You enjoy doing research, exploring new topics, and turning ideas into clear, structured content. You like creative writing, experimenting with different tones and formats. You bring an analytical mindset and pay attention to detail, delivering quality work independently. You might even have experience with AI/LLM training — if so, that’s a great plus, but it’s not required. Commitment This is a fully flexible, remote role - you choose when and where you work. To set yourself up for success on the project, it makes sense to dedicate at least 20 hours per week or more, while still keeping a healthy balance that fits your lifestyle."
4337851009,Jobgether,https://www.linkedin.com/company/jobgether/life,Ruby on Rails Engineer (Frontend Focused) (Europe),United Kingdom,2 hours ago,2 applicants,Not specified,"About the job This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Ruby on Rails Engineer (Frontend Focused) in Europe. This role offers the opportunity to contribute to a high-impact SaaS product used by thousands of users worldwide. You will join a fully remote, small senior team, working closely with designers, product managers, and engineers to deliver end-to-end features with a focus on responsive, visually appealing frontends. The environment is fast-paced, collaborative, and mentorship-driven, allowing you to ship features quickly while learning and growing alongside experienced engineers. Your work will directly influence the product experience, performance, and reliability, giving you the chance to make meaningful contributions from day one. This is ideal for someone who enjoys autonomy, continuous learning, and working on modern web technologies with a focus on frontend excellence. Accountabilities: Build and maintain Ruby on Rails features end-to-end, including tests, focusing on clean and responsive frontend development Develop user interfaces using modern HTML, CSS/SCSS, JavaScript, and lightweight JS frameworks such as Alpine.js Integrate third-party APIs including Meta, Google, Stripe, and HubSpot Participate in support rotations to handle production issues and assist customer-facing teams Collaborate with design, product management, and marketing to deliver scoped features and review pull requests for frontend quality Deploy and operate applications on cloud platforms, monitoring performance and implementing improvements Engage in mentor rotations to both receive guidance and provide mentorship to team members Requirements 3+ years of professional experience developing production applications with Ruby on Rails, ideally in a SaaS environment Strong frontend skills: HTML, CSS/SCSS, JavaScript, and building responsive user interfaces Experience with lightweight JS frameworks (Alpine.js, HTMX, Stimulus) and RESTful API integrations Proficiency in PostgreSQL, including basic query optimization and maintaining testable, maintainable code Familiarity with deployment platforms (Heroku, Render, or similar) and background job processing (Sidekiq) Curious, pragmatic, and autonomous, with excellent communication skills and a thoughtful approach to using AI tools for development Ability to thrive in a remote-first, collaborative environment Benefits Fully remote work with ultimate flexibility in location and working hours High degree of autonomy and freedom to solve problems creatively Minimal bureaucracy and efficient workflow to maintain momentum Small, friendly, and supportive team culture Access to a network of SaaS professionals and internal knowledge sharing Flexible time off to recharge and maintain work-life balance Opportunities for learning, growth, and mentorship Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching. When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly. 🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements. 📊 It compares your profile to the job's core requirements and past success factors to determine your match score. 🎯 Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role. 🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed. The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role. Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or additional assessments) are then made by their internal hiring team. Thank you for your interest!"
4312865812,Nachhilfeunterricht,https://www.linkedin.com/company/nachhilfeunterricht/life,Minijob als Übersetzer:in (Homeoffice möglich),Remote,3 weeks ago,,Not specified,"About the job Wir von Nachhilfeunterricht suchen aufgeschlossene und motivierte Übersetzer:innen, die unser Team verstärken. Nutze deine Sprachkenntnisse und gib privaten Sprachunterricht und hilf bei Bedarf bei Übersetzungen der Schüler:innen. Über uns: Wir sind eines der führenden Nachhilfe- und Unterrichtsportale in Europa. Unsere Lehrer*innen unterstützen Schüler*innen in verschiedenen Schulfächern, Sprachen sowie technischen und künstlerischen Disziplinen. Die Plattform ermöglicht Lehrer*innen das Hochladen von Inseraten für Nachhilfe- oder Privatunterricht und bringt so Schüler*innen und geprüfte Nachhilfelehrer*innen zusammen. Anforderungsprofil: Sehr gute Sprachkenntnisse in den zu übersetzenden Sprachen Vorteile: Bezahlung zwischen 15 und 35 € pro Stunde Flexible Arbeitszeit und -ort: Arbeite wann und wo du willst (online oder vor Ort) Um Teil unserer Übersetzer*innen zu werden, ist es nicht nötig, deinen Lebenslauf oder Leistungsnachweise einzureichen. Wir freuen uns auf dich!"
4318544343,KAYAK,https://www.linkedin.com/company/kayak/life,Freelance Localization Specialist - All languages (remote),"Schwangau, Bavaria, Germany",1 week ago,,Not specified,"About the job Position Please note that this is an open position, and we will get in touch with you if we have a new project available for your language pair that matches your expertise. Do you have a strong passion for travel and language? We are looking for a creative Localization Specialist to join us on a freelance basis. Your task will be to localize our products and content, primarily for KAYAK. As a professional linguist, you will provide linguistic and cultural expertise to help us connect with our audience and enhance the travel experience through localization. You will contribute to localizing new product features and marketing campaigns that resonate with the rich diversity of communities we engage with. Come aboard and be part of a diverse team of localizers, dedicated to helping travelers and food enthusiasts uncover, reserve, and enjoy the world's most exquisite destinations. If you are as passionate about localization as we are, you’re exactly who we’re looking for! Your tasks Translate, review and edit content for KAYAK’s products and assets, tailored to the target market Adhere to our style guides to deliver high-quality translations and creative transcriptions Translate and proofread content for various channels, including landing pages, blogs, newsletters, SEO content, social media, and other marketing materials Conduct LQA and functionality checks to engage with the local audience Maintain and refine language-specific resources such as style guides and glossaries Anticipate a lighter initial workload, with scope for increased involvement based on future projects Your profile Fluent in the target language at native level (required) Strong verbal and written command of English Proven experience in website/app localization and translation Experience using Translation Management Systems A flair for creative translation and copywriting Familiarity with SEO Background in LQA Relevant academic or professional background in communication, marketing, translation, linguistics, or related fields You’re a quick learner, forward-thinking, and comfortable incorporating the latest tech in a rapidly advancing industry You’re a versatile multitasker, adept at managing workflows, information, and processes across diverse project types Candidates will be invited to complete a short test as part of the selection process. Apply now! About KAYAK KAYAK, part of Booking Holdings (NASDAQ: BKNG), is the world’s leading travel search engine. With billions of queries across our platforms, we help people find their perfect flight, stay, rental car, cruise, or vacation package. We’re also redefining the in-travel experience with our app and new accommodation software. For more information, visit www.KAYAK.com. Working with KAYAK makes you part of a global network that includes KAYAK's portfolio of metasearch brands including SWOODOO, checkfelix, momondo, Cheapflights, Mundi and HotelsCombined. Many employees are dedicated to one brand, but we all have the benefit of using each other's strengths and insights. Together, we're able to help people experience the world through travel. KAYAK is proud to be an Equal Opportunity Employer, and we welcome and encourage candidates from all backgrounds and experiences to apply for roles on our team. Whoever you are, just be you."
4304086267,Sigma AI,https://www.linkedin.com/company/sigma-ai/life,German Linguistic Projects (Remote),Remote,1 month ago,,Not specified,"About the job 🌟 Join Sigma.AI – Shaping the Future of Artificial Intelligence 🌍 🔹 What is Sigma? Sigma is a leading global technology company specializing in data collection and annotation for Artificial Intelligence. With over 30 years of experience, offices in Spain, the US, and the UK, and operations in more than 200 languages, we support top multinational clients in developing cutting-edge AI solutions. 👍 Soft Skills We Value Are you a proactive professional who thrives on challenges, values collaboration, and approaches every task with empathy, integrity, and a passion for learning? If so, we’d love to hear from you! 💼 What Will You Do? As part of our linguistic projects, your responsibilities may include: Categorization – Annotation – Correction – Transcription – Evaluation – Conversational interactions – Voice recording – Content creation – Localization – Validation of audio, video, images, sentences, or words. 🕒 All tasks are remote, performed through an online platform available 24/7. 📄 This opportunity is offered for freelancers under a commercial contract. ✅ Requirements We are looking for candidates with the following qualifications: Fluent in German – Able to listen and write correctly without spelling mistakes Fluent in English – Able to listen and write correctly without spelling mistakes Basic computer skills Preferred (but not mandatory): Experience in data annotation or content rating Strong attention to detail 💻 Technical Requirements To participate in our projects, you will need: Computer: Minimum 4GB RAM Microphone and webcam Operating system: Windows 10 or higher macOS 13 Ventura or higher All OS updates installed and supported by the vendor Connectivity & Accessories: Stable internet connection Headphones Secure internet location, protected by a strong password For audio-collection projects only: Mobile phone with Android OS 🚫 Tablets and iOS devices are not supported 📋 How to Apply If you’re interested, click “APPLY FOR THIS JOB” and follow the instructions. After submitting your application, you will receive an email with the required tests to assess your qualifications. These tests are mandatory to move forward in the process. 📩 Check your inbox and spam folder, just in case! 🚫 Important Notes Sigma.AI does not hire through third parties. No agents’ intermediaries or third parties are authorized to represent benefit from or participate in any way in the relationship. To this effect the Candidate agrees to provide any documentation or information reasonably requested by the Company to verify their identity and credentials. Should the Candidate fail to provide enough evidence of their identity to Sigma´s satisfaction, Sigma shall be entitled to withhold or terminate any offer with the Candidate. The company may employ or rely on artificial intelligence systems in its selection processes. Such processing is carried out in an ethical, transparent, and legally compliant manner. The purpose of the processing is to evaluate the tests submitted in the course of the selection process (for instance the transcribed content provided by the candidate). The legal basis for processing your data is the pre-contractual relationship between the parties and/or the provision of requested services. 💬 Need Help? We’re here for any questions or concerns. Join us and be part of something global, innovative, and impactful. Sigma.AI – Data done right."
4216739019,ElevenLabs,https://www.linkedin.com/company/elevenlabsio/life,Transcription / Subtitling Specialist (Freelance),Remote,Reposted 1 day ago,,Not specified,"About the job About The Role We are looking for freelance Transcription and Subtitling Specialists to join our fast-growing Productions team. Productions is a new marketplace that brings together our AI audio tools and a network of human experts to unlock high-quality, human-edited transcripts, subtitles, dubs, audiobooks, and more at scale for our users and customers. While Productions is just getting started, we already manage content workflows for some of the world's top YouTube channels, book publishers, and media & entertainment businesses. Here's What You Can Expect In Our Team Producing and reviewing highly accurate transcripts for a range of exciting content Creating high-quality subtitles for video content following specific formatting rules and timing standards Competitive task-based compensation Flexible workload and scheduling - claim and complete jobs directly on our platform Requirements Native or near-native fluency in one or more supported languages Prior experience in transcription or subtitling and familiarity with relevant tools Strong attention to detail and commitment to linguistic accuracy Ability to work independently and deliver high-quality work on time Bonus: Experience using the ElevenLabs platform and/or other AI-assisted transcription and subtitling tools, subtitle editors, or captioning software Previous work with language service providers, localization teams, or media companies Background in linguistics, language technology, or media production Location This role is remote and can be executed globally."
4333236143,Silverfin,https://www.linkedin.com/company/silverfin/life,Experienced Ruby Engineer,Remote,4 days ago,,Not specified,"About the job Experienced Ruby Engineer - Syncs Team Remote We start with the cliff notes about the position. If this appeals to you, continue reading for a longer text about working at Silverfin and your role 👇 At Silverfin, we're an equal opportunity employer and value diversity at our company. Although we know we’re not perfect yet, we are working hard on it and always open for your feedback. According to our vision to build a diverse, equitable and inclusive organisation, our policy is to only make a final hiring decision if underrepresented groups are sufficiently represented in the list of candidates applying for the position. For this reason it’s possible interviews get slightly delayed until we’ve reached that goal. We're committed to elevating talent by creating an environment where we can all thrive together. So if you think you have what it takes, but don't necessarily check every single box, please consider applying. We'd love to hear how you might contribute to our mission and our team. What can we offer you? Actual, proper work-life balance Flexible working hours and work 100% remotely Personal growth training and opportunities Join a distributed remote-first engineering team with 40 colleagues in 14 different countries on two continents A refreshing work environment with professional, friendly and welcoming colleagues A €1200 yearly budget for conferences, courses, workshops or other expenses that will improve your skills Two engineering retreats per year, somewhere in Europe Ten company-wide Wellbeing Days per year for all employees (once a month, except in July and August) Compensation For this role, the salary range is €104.000 - €130.000 a year , which reflects the total compensation band for senior engineers at this level. Please note: Most candidates start at the lower to mid part of the range, depending on experience and how their profile compares to our existing team. The higher end of the range is typically offered to individuals with a track record of strong impact and deep expertise in similar roles. We run annual compensation reviews, so there is clear opportunity for growth as you progress in the role. What will you work on? Building and maintaining integrations with accountancy software packages and APIs Figure out the best way to solve a customer or business problem in close collaboration with a product manager, a product designer and other engineers Improving and expanding our on-premise Ruby CLI/service which runs on hundreds of our customer’s systems Work on user facing functionalities What are we looking for? You’re experienced in both Ruby and Rails, and also understand where the boundaries lie between them. You can code in Ruby without any of Rails’ training wheels if necessary. You have experience using Javascript framework(s), understand the value of them, but also know when plain Javascript is enough. You enjoy integrating with APIs and aren’t easily dissuaded when encountering unreliable or poorly documented systems. You code with reason and can justify the important decisions you made during development. You can communicate clearly in English, both in writing and verbally. You’re up for mentoring coworkers and can give in-depth, productive feedback during code reviews. While you appreciate the small stuff, you recognise bike-shedding and can avoid its pitfalls. You know and can apply best practices when relevant. That means the usual like version control, testing, and refactoring; but also higher level concepts such as good object oriented design. You're aware of the trade-offs involved in proper engineering and can make balanced business decisions, keeping in mind all the stakeholders of the project. You’ve got opinions on code design and you can discuss them, but you’re professional enough to not let those opinions get in the way of a consensus if necessary. What’s a Silverfin? At Silverfin we’re trying to apply the promise of software to the age-old industry of accounting. With our SaaS we’re automating a large chunk of the busy-work that accountants are currently handling manually, and are building new tools so they can provide better services to their customers. We aim to optimise their workflow in such a way that accountants can spend more time on the much more impactful and rewarding work of advising their customers, the business owners. The good news is we’re succeeding in doing exactly that. Every week more than 15.000 financial service professionals use Silverfin to help and advise more than 400.000 businesses. Our customers adore us! The even better news is there’s still plenty left to work on, and that’s where we hope you come in. Since November 2023 we are proudly part of Visma - the European leader in mission-critical cloud software, enjoying the power of the Visma brand and resources whilst retaining business autonomy and go-to-market freedom. What’s Team Syncs? One of the cornerstones of the Silverfin platform is the integration with bookkeeping packages that accountants already work with, which allows us to seamlessly import their accounting data. We currently have integrations with over 40 different vendors, and we want to add more as we expand to different markets. Team Syncs is the team responsible for creating, maintaining and improving these integrations. Our challenge is to build robust integrations, although sometimes the APIs we need to use are poorly designed, badly documented or even unreliable. Yet solving those puzzles, and empowering our customers by importing gigabytes of data from their clunky bookkeeping software, makes it all worth it. Because once the data is in Silverfin, it's connected, standardised and can be easily worked with, which is what it's all about. If you're a tinkerer, love working with APIs and thrive in the face of uncertainty, this might be for you. The accounting data imported by these integrations is held in the biggest domain-focused table we are having. On top of this data the computations are performed so you will have a challenge of implementing solutions which need to have performance in mind. What are the things you'll be working on? Improve the stability, performance and infrastructure cost of dozens of our current 3rd party integrations, through usage of different distributed systems patterns Rare opportunity to work on a CLI/service application which is currently deployed on hundreds of our customers' servers Extend existing integrations to fetch new kinds of data. Figure out the structure which will be the most maintainable and generalized throughout variety of our integrations What does your future look like? Personal growth is key to staying motivated. At Silverfin you don’t need to move to management in order to advance. We see the individual contributor track and the management track as two different growth paths which every engineer can follow and switch between. You can be promoted, including pay raises, as a contributor just like as a manager. Everyone has a €1200 yearly budget to spend on conferences, courses, workshops or other training to improve their skills and level up. This also includes accommodation, travel costs. If the conference is on a workday you’ll get paid like any normal day. Requirements You have at least 4 years of experience working with Ruby, or 2 years of experience with Ruby and 4 years in one or more other programming languages You have experience with Javascript framework(s) You have experience with designing or integrating with APIs Your work hours have some overlap with EU business hours (we require your local timezone to be within CET +/- 3h) You can communicate clearly in English, both written and verbally Nice to haves These would be nice but are definitely not necessary. Don’t worry if none of the following applies to you. Experience as a remote worker in a fully remote team Experience working with large datasets and the problems they bring Experience with Stimulus.js or Vue.js Experience in Fintech Accounting knowledge Interested? You can apply today and we’ll start having interviews from 17/11/2025. There’s no benefit to applying early, so you can take your time answering the application questions. Read about what our interviewing process looks like Apply for the job right here Or email us with any questions on zoe.deswaef@silverfin.com"
4333981208,Mercor,https://www.linkedin.com/company/mercor-ai/life,Remote German Language Specialist,Remote,1 day ago,,Not specified,"About the job About The Job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark, General Catalyst, Peter Thiel, Adam D'Angelo, Larry Summers, and Jack Dorsey. Position: Linguistic Expert – German Type: Part-time Compensation: $35–$50/hour Location: Remote Commitment: 20 hours/week Role Responsibilities Review, evaluate, and annotate AI-generated text in German for accuracy, fluency, and cultural alignment. Provide expert feedback on grammar, semantics, style, and tone. Develop guidelines and documentation to improve consistency in AI outputs. Collaborate with researchers to identify language-specific challenges and edge cases. Suggest improvements for training datasets and linguistic rules. Qualifications Must-Have Fluency in both English and German (native-level proficiency in German required). Strong grasp of grammar, syntax, semantics, and stylistics. Ability to identify and correct subtle linguistic and cultural nuances. Bachelor’s degree in Linguistics, Translation, Literature, or related field (advanced degree a plus). Preferred Prior experience in linguistic annotation, translation, or content review. Familiarity with AI, NLP, or language technologies. Resources & Support For details about the interview process and platform information, please check: https://talent.docs.mercor.com/welcome/welcome For any help or support, reach out to: support@mercor.com PS: Our team reviews applications daily. Please complete your AI interview and application steps to be considered for this opportunity. ,"
